platform,account_id,account_name,country,currency,active
GOOGLE_ADS,123-456-7890,Balabim SK,SK,EUR,TRUE
GOOGLE_ADS,123-456-7891,Balabim CZ,CZ,CZK,TRUE
GOOGLE_ADS,123-456-7892,Balabim HU,HU,HUF,TRUE
GOOGLE_ADS,123-456-7893,Balabim PL,PL,PLN,TRUE
GOOGLE_ADS,123-456-7894,Balabim RO,RO,RON,TRUE
GOOGLE_ADS,123-456-7895,Balabim BG,BG,EUR,TRUE
GOOGLE_ADS,123-456-7896,Balabim HR,HR,EUR,TRUE
GOOGLE_ADS,123-456-7897,Balabim SI,SI,EUR,TRUE
GOOGLE_ADS,123-456-7898,Balabim GR,GR,EUR,TRUE
META,act_1000000000000001,Balabim – všetky krajiny,MULTI,EUR,TRUE
