country,platform,active,monthly_budget_eur,kpi,target_roas,target_cpa_eur,pacing_tolerance,kpi_tolerance,wow_drop,min_spend_7d_eur,min_spend_campaign_7d_eur,max_frequency,asana_assignee_gid
SK,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
SK,META,TRUE,,ROAS,,,,,,,,,
CZ,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
CZ,META,TRUE,,ROAS,,,,,,,,,
HU,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
HU,META,TRUE,,ROAS,,,,,,,,,
PL,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
PL,META,TRUE,,ROAS,,,,,,,,,
RO,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
RO,META,TRUE,,ROAS,,,,,,,,,
BG,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
BG,META,TRUE,,ROAS,,,,,,,,,
HR,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
HR,META,TRUE,,ROAS,,,,,,,,,
SI,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
SI,META,TRUE,,ROAS,,,,,,,,,
GR,GOOGLE_ADS,TRUE,,ROAS,,,,,,,,,
GR,META,TRUE,,ROAS,,,,,,,,,
